https://thenewboston.com/page_add.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/info_basic.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/info_contact.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/info_education.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/info_employment.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/info_links.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/change_password.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/delete_account.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/faq.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/notify.php {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&action=follow&47594201597a764df70313aa77d86c68=1 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/profile.php?user=25213 {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/#profile-posts-tab {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/#profile-images-tab {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/#profile-friends-tab {'title': '', 'depth': 6, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/photos/users/25213/original/35124421adcd395f6c119429cb54c512.jpg {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&post=70133 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/photos/users/25213/original/87ecd78564a18a21085b635bb08df153.jpg {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&post=70132 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/photos/users/25213/original/a4b391c51301df5804874441fe9b7b59.jpg {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&post=70131 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/photos/users/25213/original/ee4869aea270881e0cc59d34454b0d85.jpg {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&post=70130 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/photos/users/25213/original/c9727cdb94de3bc26431d103aafc097c.jpg {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/page.php?pid=2294&post=69961 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/posts.php?user=25213&post=70133 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/posts.php?user=25213&post=70132 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/posts.php?user=25213&post=70131 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/posts.php?user=25213&post=70130 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/posts.php?user=25213&post=69961 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
